Size (sq ft),Location,Security,Garage,Floor_Number,Number_of_Rooms,Built_Year,Price (in $1000s)
2151,1,1,1,7,9,2010,329.22
3712,0,1,0,6,10,1996,410.15
2176,0,0,0,8,8,2022,235.75
1646,1,0,1,10,6,2017,260.5
2525,1,1,1,1,2,1994,275.69
3415,0,1,1,9,7,2000,385.42
1549,1,1,1,12,10,2008,292.44
3158,0,1,1,5,7,2016,368.69
575,0,0,0,15,5,2007,69.07
714,0,1,0,9,9,2005,151.11
954,0,0,1,6,2,2011,106.9
3733,1,0,1,9,6,2014,432.86
2299,0,1,1,13,10,2014,322.86
896,1,0,0,15,5,2002,177.52
852,0,0,1,11,8,1991,136.04
892,1,1,1,7,10,1997,248.5
3069,1,1,1,3,3,2024,340.42
1027,1,0,0,5,2,2003,138.43
1188,1,0,0,4,10,2005,244.11
1175,1,1,0,14,10,1982,233.09
1346,1,0,1,14,8,2017,251.03
2302,0,1,0,12,2,2001,209.12
3325,1,1,0,7,2,1997,344.22
705,0,1,0,6,9,1986,158.47
2415,1,0,0,15,4,1998,274.27
1837,1,1,0,13,10,1985,306.89
2567,0,1,1,6,2,2000,241.02
3002,1,0,1,9,4,2022,343.81
2393,1,0,1,15,4,2019,285.71
1037,1,1,0,13,8,2000,223.61
3564,1,1,1,5,8,2006,460.25
3908,0,1,1,2,10,2008,428.43
2816,0,0,1,12,10,2002,334.46
1854,0,0,1,11,4,1986,202.11
1692,1,0,1,4,10,1990,295.42
2865,0,0,0,5,7,1983,290.41
3022,1,1,1,5,2,2016,345.85
3541,0,1,1,1,8,2005,390.7
845,0,0,1,12,8,2019,165.36
3848,0,0,1,10,7,1992,380.03
505,1,0,0,3,2,2010,116.26
3180,1,1,0,8,7,1985,379.08
2411,1,1,0,6,3,2010,290.56
511,0,1,0,3,8,2009,134.65
1727,1,0,1,11,6,2012,250.24
1118,0,1,0,12,5,1994,125.47
3210,0,0,1,5,4,1982,295.66
1752,0,1,1,6,5,1993,202.3
3639,0,0,1,3,10,2016,394.98
528,1,0,1,1,8,2007,166.36
947,0,1,0,2,3,2005,128.53
1865,0,1,1,12,5,1992,205.68
3313,0,1,0,5,2,2012,283.1
2596,0,0,1,6,9,1990,291.06
3652,1,1,0,14,9,1987,431.11
1259,1,1,1,4,10,2007,267.13
2710,1,0,0,9,5,1983,287.78
2264,0,1,1,10,10,2001,293.02
2305,0,1,1,1,8,2022,290.51
2451,1,0,1,6,2,1987,274.47
1637,1,0,1,1,5,2001,227.14
2707,1,0,0,6,3,2015,280.02
602,0,1,0,12,6,2004,102.21
2606,0,1,1,1,10,1988,344.72
3099,1,1,1,7,7,2009,378.66
657,1,1,1,5,2,2018,164.44
2643,0,0,0,10,7,1998,287.35
3299,0,0,1,13,8,2017,354.78
3517,0,0,0,2,2,2000,282.75
1488,0,1,0,12,8,2005,214.79
3133,0,0,1,8,2,1991,286.32
1422,0,0,0,6,10,2006,198.89
3091,0,1,0,12,9,2017,347.4
1375,0,1,0,9,2,1988,131.52
2985,0,0,1,4,5,2005,291.51
2175,0,1,1,14,6,1996,260.3
3075,0,1,0,1,7,2015,325.88
2510,1,1,0,5,6,1988,321.42
2379,0,0,0,2,7,1982,252.28
2716,0,1,0,14,6,1986,284.76
1707,0,1,0,11,10,2002,261.39
944,0,1,1,14,4,1980,111.84
2701,1,0,0,15,9,1982,343.97
1006,1,0,0,15,5,2007,182.88
3378,1,0,1,4,6,2004,399.36
958,1,1,0,8,3,1986,150.99
2051,1,0,1,4,2,2005,250.07
632,0,0,0,6,8,1988,118.06
3671,1,1,1,1,2,2020,390.19
1698,0,0,1,9,2,2006,157.36
2338,1,0,1,10,8,1999,299.65
3739,1,0,1,15,8,1984,415.98
3968,0,0,1,3,3,2011,336.42
2032,0,1,0,11,4,2013,220.96
2817,0,0,1,5,10,2005,348.24
970,0,0,0,6,3,2011,119.2
1428,0,1,1,10,3,2009,166.93
3586,0,1,0,15,4,1997,323.44
2936,1,0,0,3,10,1989,357.83
3593,1,0,1,11,6,2008,415.31
953,0,1,1,14,10,2010,202.72
3429,0,0,0,14,3,2008,297.92
1326,0,1,0,7,4,1981,130.66
3296,0,1,1,7,3,2004,316.69
3249,0,1,1,9,4,2006,342.19
3361,1,0,1,13,2,2009,337.44
2831,1,0,1,14,5,1985,305.99
735,0,0,1,8,6,1990,129.39
3895,0,1,1,2,3,1988,340.44
2607,1,1,1,1,7,2005,342.25
1663,1,0,1,15,10,1988,265.58
1095,1,0,1,2,5,2023,211.58
1552,0,0,0,8,2,2021,154.38
1413,0,0,0,3,10,2022,229.5
3801,0,0,1,15,7,2000,382.31
515,0,1,0,15,5,1998,93.12
3683,0,0,0,6,7,2000,337.19
897,1,0,1,8,4,1998,161.34
3166,0,0,0,8,6,2011,319.93
737,0,1,1,3,2,2023,119.92
1406,0,0,1,13,7,1992,178.17
3936,1,0,1,14,9,1991,468.29
611,1,1,0,2,7,1990,151.47
1050,0,0,0,9,10,2022,174.11
3215,0,1,0,15,3,2006,301.16
2005,1,0,0,1,5,2023,254.5
2091,0,1,0,13,7,1981,238.07
798,1,1,1,13,4,2024,190.54
2354,1,0,1,6,2,1995,265.93
3062,1,1,0,10,6,2002,347.14
3985,1,0,1,5,9,2004,468.04
3850,0,0,0,5,2,2011,325.78
526,1,0,1,8,9,1996,200.14
3914,0,1,0,1,3,2008,356.14
3508,0,0,1,7,3,1993,322.7
3266,1,1,0,7,9,2006,408.89
3786,0,1,0,10,5,2020,356.49
3203,1,0,0,6,8,2000,379.87
3452,0,0,1,4,3,2000,291.95
2905,0,1,1,14,4,1985,285.31
1958,1,1,0,12,5,1999,274.2
2975,1,1,1,6,10,2011,401.57
1831,0,0,0,4,10,2019,263.33
854,0,1,0,3,4,1987,117.46
1707,1,0,0,8,3,2014,201.15
1555,1,0,0,13,4,1992,188.2
2542,1,1,1,15,8,1990,365.33
556,0,0,0,5,4,2019,101.16
692,1,0,0,1,5,2019,139.61
1664,1,1,0,4,6,2001,248.7
3022,0,1,1,1,4,2017,308.32
1590,1,0,1,6,2,2005,194.23
709,1,1,0,11,3,2020,134.92
2761,1,1,1,1,2,2018,320.13
3125,0,1,0,6,9,1984,358.11
3432,0,0,0,7,9,1995,367.89
2062,0,0,0,9,7,2020,249.71
3634,0,0,1,11,8,1992,354.07
3416,1,0,1,13,6,2000,366.08
2956,1,0,0,5,8,1981,329.01
3150,1,1,1,4,10,2024,422.37
1763,0,0,1,4,7,2023,211.01
3064,1,1,0,2,5,1995,369.06
3163,1,0,1,14,4,2022,344.5
2230,1,1,0,14,5,2021,290.94
3180,1,0,1,14,4,1995,342.27
3742,0,0,0,9,7,2009,358.93
1307,0,0,1,1,2,1985,108.73
500,0,0,1,13,7,1980,107.02
2875,0,1,1,1,8,1995,326.29
1771,1,1,1,11,8,1982,286.54
1473,0,0,0,9,4,2010,142.81
3282,0,0,1,6,10,2013,386.37
2522,1,0,1,15,6,2002,322.25
3944,1,0,1,1,8,1988,432.82
2651,1,0,1,10,4,2000,300.37
1225,1,0,1,8,4,1992,174.84
3998,1,0,1,4,9,2020,468.3
581,0,1,1,4,4,1999,94.31
1939,1,0,0,4,3,1994,232.91
2794,0,0,0,14,6,1982,256.61
2658,1,0,0,1,3,1980,258.77
1992,0,1,1,3,5,1987,237.86
2220,0,1,1,7,4,2007,241.44
2124,0,1,1,11,9,1993,287.49
959,0,0,0,12,8,1994,122.61
3996,0,0,0,1,3,1982,337.26
2641,1,0,1,8,6,2008,310.03
1191,1,0,1,13,10,2015,269.12
850,1,0,1,8,4,2014,155.84
2420,1,0,1,14,8,1998,335.16
3266,1,0,0,3,10,2021,408.07
3789,0,1,0,5,3,1999,332.08
1839,1,0,0,14,5,1982,214.65
3243,1,0,0,7,10,2015,393.05
1851,1,0,0,5,2,2014,201.88
887,0,1,0,2,2,2002,115.16
680,1,1,0,14,7,2001,197.47
2823,1,0,0,9,6,1984,295.61
3945,1,1,0,6,2,2008,401.79
1982,0,1,1,6,7,1986,227.29
2793,1,1,0,9,10,1988,360.32
2881,1,0,0,1,9,1991,333.94
1652,0,1,0,5,5,1988,180.42
3657,1,0,0,2,9,2002,420.41
3539,0,0,1,15,8,1997,374.9
3194,0,0,1,15,9,1982,342.08
2429,0,0,0,7,5,1983,224.18
2306,0,0,1,14,10,1984,298.46
3129,0,1,0,13,5,2023,319.41
3989,1,1,1,11,6,1987,440.12
3613,0,1,0,9,7,2016,384.8
2247,1,1,0,4,10,2001,331.65
3252,1,1,0,13,6,1983,357.23
3272,1,0,1,9,4,1981,331.55
817,1,1,0,2,5,2000,180.69
3365,0,0,0,13,8,2022,359.29
2527,0,0,1,11,8,2024,308.1
2180,0,1,0,10,7,2012,275.98
3696,1,1,0,12,10,1980,445.18
1832,1,1,1,9,4,2008,272.68
2583,1,1,0,6,2,2000,266.55
1239,0,1,0,1,3,1981,114.21
1694,0,1,1,3,2,2013,182.98
1219,0,0,1,10,2,2009,105.03
2713,0,0,1,14,9,2015,304.55
607,1,0,0,7,9,1988,177.58
1237,1,1,1,3,3,2024,228.45
1296,0,0,0,7,6,1993,146.65
998,1,0,0,7,3,1995,162.86
1216,1,0,0,13,9,1983,230.25
3139,0,1,1,10,4,1994,301.1
1343,1,1,1,14,6,1990,238.42
3045,1,1,1,10,7,1987,366.04
1058,1,0,0,12,5,1989,158.67
3884,0,1,1,13,7,1993,381.03
2475,1,0,1,14,9,1988,328.87
1340,1,0,0,7,2,1996,155.89
2876,1,0,0,4,4,2003,294.51
2029,1,1,1,15,5,2004,273.53
3325,1,0,1,11,2,2017,329.35
1890,0,0,1,11,5,1997,220.47
2515,0,0,1,3,7,1989,261.02
3979,1,0,0,15,6,1999,420.78
1889,0,1,1,14,3,2003,214.51
2592,0,0,0,10,7,1987,275.01
2795,0,0,0,2,3,2011,226.92
3360,1,0,0,5,6,1998,353.78
1901,1,1,0,14,2,2009,233.83
1232,1,1,1,8,2,2001,194.25
3705,0,1,0,12,3,2003,325.38
3678,0,0,1,7,5,2007,336.33
2705,0,1,1,8,9,1989,338.69
3480,0,0,0,2,9,1983,351.01
1511,0,1,0,10,10,2001,238
1741,0,0,0,2,5,2018,167.26
3893,0,0,0,8,6,1990,339.87
3256,0,0,0,10,2,1997,277.38
1506,0,0,1,5,7,1993,190.25
1541,1,0,0,7,10,1980,264.56
1121,1,0,0,2,3,2023,178
1746,1,0,0,14,7,1984,236.29
1443,1,1,0,12,5,2016,224.58
2389,0,1,1,5,6,1987,279.7
775,1,1,0,5,9,2024,207.99
3959,0,1,1,14,9,1995,417.15
3868,0,1,0,7,3,2012,370.95
1050,1,1,0,14,9,2001,222.55
2668,1,0,1,7,9,1984,343.17
3500,0,1,1,7,8,1995,376.44
1992,0,1,1,3,10,2004,270.16
3045,0,0,1,5,7,2011,319.58
504,1,1,0,3,5,2011,141.34
3417,0,0,0,1,9,1999,354.83
3927,0,0,0,11,2,2014,317.51
3206,0,0,0,5,4,2020,290.5
1671,0,1,0,12,10,1999,223.2
2132,1,1,1,6,10,1996,333.17
1432,1,1,1,6,4,2009,217.39
1739,0,1,1,10,8,2022,238.72
632,1,1,1,6,5,2021,185.68
3963,0,0,1,5,9,1995,389.32
3393,1,1,0,6,6,1993,377.69
2206,0,0,1,15,4,1985,220.45
3555,0,0,0,9,6,2008,333.39
551,1,1,0,9,2,1987,99.82
961,1,1,0,10,7,1995,214.04
1757,1,0,0,13,9,2020,258.68
2140,1,0,1,4,10,1996,334.45
1852,0,0,0,5,5,1982,165.61
3984,0,0,0,2,10,2001,414.58
1550,1,1,1,6,4,1993,235.23
3527,0,1,1,10,3,2015,343.15
875,0,1,1,1,3,1983,126.63
2143,1,0,0,5,10,2009,328.28
1222,1,0,1,14,7,2023,229.34
3097,0,1,0,15,4,1984,297.75
2965,1,1,1,8,5,2018,380.15
2655,0,0,1,14,3,1995,245.26
1724,0,1,1,7,10,1980,254
2825,0,0,0,13,3,2021,255.89
1620,0,0,1,12,7,1981,203.92
2693,0,0,1,9,10,2004,338.78
3778,1,1,0,10,4,1999,389.49
2697,0,0,0,6,2,2016,211.88
1327,0,1,0,1,2,2003,137.97
674,1,0,1,12,8,2003,168.05
2642,0,0,1,15,5,1998,266.85
2966,0,1,0,6,4,2002,303.14
2388,0,1,1,3,4,1990,264.93
1893,1,1,1,8,2,2008,241.4
3308,0,1,0,1,6,2020,332.45
3881,0,0,1,14,10,1997,424.11
3988,0,0,0,3,2,1990,326.49
3138,0,0,0,12,3,1993,260
758,0,1,0,6,7,2007,150.23
1192,0,0,1,12,7,2016,180.67
3891,1,0,0,7,9,2020,459.7
2593,0,1,0,15,7,2007,285.24
3287,0,0,0,7,7,2019,336.98
3757,1,0,0,10,4,1990,391.01
2272,0,0,1,14,2,1987,188.8
1846,0,0,0,11,5,2014,191.66
3057,1,0,0,6,10,2024,413.46
3790,0,0,1,3,7,2015,382.69
2524,0,1,0,7,10,2004,308.57
1379,1,0,0,5,2,1996,185.21
3611,1,0,1,15,4,2014,400.52
875,1,0,0,6,7,1999,166.12
3848,1,1,1,14,10,1984,487.47
1099,0,0,1,7,5,1988,149.6
942,0,0,1,5,3,1980,79.22
1471,0,0,1,7,5,1992,162.17
3323,0,0,1,7,10,1996,379.99
3324,1,0,1,12,5,1992,380.5
3949,0,1,0,4,4,1994,367.22
1067,1,0,0,14,3,1987,133.16
1906,1,0,1,6,10,2016,304.98
3527,1,1,1,8,5,1999,405.79
2546,0,0,1,3,5,2006,261.18
2042,0,1,1,8,9,1982,264.72
1112,1,0,1,7,7,2008,215.82
3369,0,0,0,7,10,2017,349.59
2684,0,1,0,5,8,2017,296.91
718,0,1,1,11,9,2015,166.61
1150,1,1,0,6,9,2001,226.09
1704,1,0,0,6,7,2003,238.1
2315,0,0,1,8,2,2006,204.03
3876,0,1,1,10,6,1984,399.33
2715,0,0,1,6,5,1987,261.55
1543,0,0,0,8,4,2011,152.35
2761,1,0,0,14,5,1982,283.35
3709,1,1,0,4,5,2013,417.07
2402,0,1,0,4,5,1988,251.09
3657,0,1,1,14,9,2010,404.54
2477,0,0,1,3,8,2001,267.95
3907,0,1,0,7,8,2006,391.81
630,0,0,0,6,9,2024,140.95
1354,0,0,1,10,6,2011,156.41
3732,1,0,0,3,6,2000,410.07
1279,0,1,0,6,3,2004,128.07
3395,1,0,0,3,4,2024,375.24
2431,1,0,1,9,2,2013,269.44
2945,0,1,1,12,8,2001,343.33
1596,0,1,0,14,7,2018,228.19
1297,1,1,0,11,10,1984,265.15
1855,0,0,0,9,2,2016,161.32
1405,1,1,1,10,7,2002,256.38
3740,0,1,0,3,2,2006,341.62
1612,1,0,1,5,8,1993,242.43
3797,1,0,1,13,6,2024,436.17
2643,0,1,0,7,3,1986,253.24
3008,0,0,0,1,3,2012,261.07
1140,0,0,1,6,10,2008,179.62
1711,0,1,0,5,9,1983,222.48
1138,0,1,0,1,2,2020,122.42
3337,1,1,1,11,8,2009,413.07
2107,1,1,0,3,8,1998,287.67
1755,1,1,1,1,4,2016,268.81
1848,0,1,0,9,5,1987,214.05
3044,0,0,0,14,9,1998,303.19
2265,1,1,1,2,2,1985,262.41
1477,1,1,0,7,10,2011,277.62
2403,0,1,1,2,2,1996,217.79
2325,1,0,1,1,6,2009,294.68
3878,0,0,0,7,4,2009,326.37
3357,0,0,0,4,9,1987,341.41
3424,1,0,0,12,7,1988,359.29
2070,0,1,0,15,8,1993,245.61
1698,1,0,0,10,8,1987,234.39
3951,0,1,0,3,6,2021,389.45
1772,1,0,0,4,8,2014,280.71
2930,0,1,1,2,2,1989,282.41
3921,1,1,0,3,3,1999,389.07
2765,1,1,1,9,6,2016,351.7
552,0,0,0,4,2,2011,66.16
1694,1,0,1,2,6,2024,275.32
2580,1,1,1,12,10,1991,363.76
1797,0,0,0,3,8,2021,218.53
651,0,0,0,14,10,2013,157.82
1356,0,0,1,8,8,2008,178.99
3720,1,0,1,4,3,2016,401.26
748,0,0,1,12,3,2004,92.2
3659,0,0,0,10,9,2007,356.81
2983,0,1,1,5,7,2019,332.11
2960,1,0,1,14,2,1994,303.36
2910,0,1,1,2,3,2015,311.19
2471,0,0,0,10,3,1999,221.54
862,0,0,0,11,10,1993,161.98
2266,0,0,1,13,2,2005,216.86
1161,1,0,1,3,6,2024,225.08
766,0,1,1,3,6,2006,140.21
2408,1,1,0,11,3,2000,272.13
3644,0,1,1,9,10,1992,405.7
826,1,1,1,7,8,2006,210.85
2400,1,1,1,8,10,2001,379.95
2869,0,1,0,13,8,2008,304.93
2705,0,0,1,6,4,2019,260.67
592,1,1,1,2,10,2024,236.28
1427,0,0,0,14,8,2004,183.48
1925,0,0,0,2,8,1988,201.97
2051,1,1,0,12,6,1982,260.18
520,1,0,0,3,8,2017,175.51
1043,0,1,0,1,10,2007,183.65
2125,1,0,0,13,10,2011,318.65
628,0,1,0,7,6,1984,116.67
2540,0,0,1,13,3,1998,218.6
628,0,0,0,14,9,1994,127.87
1127,1,1,1,1,8,2008,237.48
1564,1,1,0,1,4,2015,228.78
2031,1,1,1,2,8,2007,308.78
2716,0,0,1,12,3,1994,235.18
1673,1,1,0,12,2,2023,212.24
3345,0,1,1,5,6,1994,330.84
3788,1,1,0,5,10,2004,468.07
2152,0,0,0,3,3,2016,213.29
3716,0,0,0,14,4,2011,339.04
2705,1,1,0,1,2,1986,282.2
676,0,0,0,10,2,2022,65.21
2300,1,0,0,12,8,1993,280.35
3712,1,1,1,13,4,2006,408.24
3964,0,1,1,8,3,2013,360.38
888,0,0,0,7,3,1982,71.47
768,0,1,0,12,5,2008,117.26
3957,1,0,0,7,9,1981,445.51
2126,1,0,1,7,6,1980,253.28
2375,1,0,0,14,3,2003,256.4
3930,0,0,0,12,10,1983,402.87
950,0,1,0,14,2,2020,125.23
3219,1,1,1,8,5,2014,379.37
3441,0,0,0,7,4,2024,295.44
645,0,1,1,4,9,2013,166.88
3099,1,0,0,11,4,2001,320.07
1890,0,0,1,14,2,2007,164.03
1991,0,1,0,15,4,2006,220.37
2232,1,0,0,14,3,1990,259.29
1555,1,0,0,10,3,2012,194.73
3494,0,1,0,12,7,1988,368.67
1539,1,1,1,13,9,1983,275.54
2242,1,1,0,13,2,1987,241.77
922,1,0,0,7,3,1996,148.15
2554,0,1,0,11,7,1984,282.54
1218,0,1,0,5,3,2002,135.35
3447,1,0,0,13,8,2018,418.41
1443,1,1,1,15,9,1997,267.93
3622,0,0,0,6,8,2010,345.98
3356,1,0,0,9,2,2012,338.33
686,0,1,1,11,2,2006,87.13
625,0,1,0,12,9,2019,153.4
2807,1,1,1,14,5,1987,339.85
860,0,0,1,9,5,2005,134.04
600,0,0,0,7,7,1994,105.14
552,0,1,1,2,10,2016,180.91
1271,1,0,0,11,2,1999,163.59
2298,1,1,0,9,2,2022,280.79
2629,1,1,0,11,3,2015,288.98
3012,0,1,0,4,2,2002,255.01
2549,0,0,1,9,10,2000,296.73
1641,1,0,1,7,6,2002,232.53
2126,1,0,0,7,7,2018,291.92
1236,1,1,0,9,3,2003,177.88
2594,1,0,0,14,9,2013,326.55
2446,1,0,0,15,8,2000,323.11
3029,1,1,1,4,9,2006,399.03
2460,1,1,0,3,10,1993,352.13
1328,1,1,0,10,2,2023,208.27
3900,1,1,1,8,10,2024,480.06
769,1,0,1,10,10,1984,204.37
3191,0,0,1,9,3,2009,288.97
3936,1,0,1,1,8,2018,438.04
2863,1,0,0,8,5,1989,303.4
3136,1,1,0,9,8,2016,394.34
3092,0,1,1,8,5,2005,340.07
1573,1,1,1,14,3,2000,209.16
665,0,0,0,2,7,1986,107.17
2146,1,0,1,12,3,1986,262.32
2570,1,0,1,11,5,2009,312.6
1168,0,1,0,13,10,2018,194.78
2987,1,1,0,13,8,2020,387.8
3337,0,0,1,12,6,1998,336.55
3375,1,1,1,15,4,2017,400.96
1461,1,1,0,9,10,2002,288.81
1842,1,0,0,10,7,2001,268.36
3941,0,0,0,2,5,2004,337.51
1972,1,1,1,12,5,2001,295.29
1323,0,1,1,1,5,1996,159.31
1144,0,0,1,8,2,1997,111.1
2603,0,1,1,10,2,2010,260.69
2899,1,0,1,15,7,2011,350.36
3951,0,1,1,2,4,1982,380.79
689,0,0,0,13,2,1990,58.49
3704,1,1,0,12,6,1992,417.29
3019,1,0,0,5,10,1990,371.81
1771,0,1,0,7,2,2006,171.42
2029,0,1,1,10,5,1988,229.74
3435,1,1,1,2,5,1984,379.17
3605,1,0,0,9,8,1999,415.48
3725,0,1,1,1,5,1994,351.73
2977,0,0,1,6,2,2017,251.77
2337,1,0,1,9,3,1985,269.31
3353,0,0,0,11,9,2024,340.13
3180,1,1,1,12,8,2024,406.5
2411,0,0,0,11,2,2018,201.11
1424,0,0,1,7,8,1980,204.92
2796,0,1,0,8,5,1999,297.92
2107,0,1,1,4,3,2011,238.24
1330,1,1,0,6,2,2018,193.27
2660,1,0,1,3,5,2017,339.87
3757,1,0,0,9,9,1987,429.64
1286,1,1,1,1,4,2018,218
2605,0,1,0,13,10,2015,328.98
1793,0,0,1,8,5,1985,197.33
3266,0,1,1,4,6,2017,342.28
861,0,1,0,7,9,2016,189.34
1454,0,1,1,8,4,2003,171.99
1764,1,0,0,12,9,1996,256.18
682,1,1,0,13,5,2019,185.95
1258,0,1,1,15,7,1993,178.24
2748,0,0,1,1,4,2011,285.98
2558,0,0,1,9,9,2013,305.01
2818,1,0,0,11,9,1999,355.78
1793,1,1,1,1,3,2003,244.74
3662,1,0,0,15,6,2004,379.37
2528,1,1,0,8,2,1993,287.44
3648,0,1,1,7,5,1996,355.66
1208,1,1,0,5,5,1984,212.83
1766,1,0,0,10,4,2014,211.58
3539,1,0,0,12,4,2021,389.05
3864,0,1,1,13,9,1997,435.86
2218,1,1,1,5,5,1988,299.51
1281,1,0,0,13,5,2005,181.89
636,0,0,0,14,3,1998,63.34
2672,1,1,1,15,10,1980,368.38
1824,0,0,1,7,8,2011,244.96
2846,1,0,0,7,9,1989,356.93
1241,1,1,0,4,8,2002,253.62
2804,1,1,1,2,4,1994,340.56
2263,0,0,1,11,4,2009,225.92
3536,0,0,0,4,7,2023,350.51
1608,0,0,1,11,6,2001,198.17
2908,0,0,1,10,6,1989,296.47
539,0,0,1,11,10,1998,163.8
903,1,0,1,6,3,2021,147.95
2512,1,1,0,11,9,2009,356.41
2685,1,0,1,5,2,2022,292.3
2362,0,1,1,5,6,2021,286.6
2657,0,0,1,8,7,1993,300.74
2958,1,1,1,9,2,1989,340.48
1971,1,1,1,7,2,2021,244.84
969,1,1,0,5,4,1984,184.41
1379,0,0,1,13,7,2022,192.34
2547,0,0,0,10,2,1999,208.32
2656,0,0,0,6,5,2020,241.14
3427,0,0,0,14,9,2020,342.45
3683,0,1,1,10,10,2023,441.55
3167,0,0,0,3,3,1992,266.44
2442,1,0,1,14,9,1999,322.37
1033,1,0,0,4,10,1989,206.44
3708,1,1,1,6,7,1980,446.69
3582,1,1,1,15,8,1985,436.87
3736,1,0,0,1,7,2024,420.76
3034,0,1,0,4,3,1991,258.1
3135,0,1,0,6,5,2023,339.22
949,0,0,0,3,4,2015,95.85
2909,0,0,0,12,10,2013,335.86
2406,1,0,1,12,3,2013,291.69
2321,1,1,0,9,7,1983,291.63
1184,0,0,1,9,8,1997,165.07
3197,0,0,1,5,4,1995,289.82
1579,1,1,0,12,9,2017,287.69
1498,0,1,0,13,4,1987,156.73
3296,0,0,0,6,9,1999,349.55
3121,0,1,0,13,5,2022,311.52
3319,0,0,0,14,8,2022,361.23
515,0,0,0,5,5,2024,80.8
1399,1,0,1,9,7,2001,225.56
700,0,0,0,2,4,2007,74.65
1335,1,0,0,15,8,1985,203.43
3904,1,1,0,2,3,2007,392.02
3850,0,0,0,12,3,1981,322.5
1160,1,1,0,5,7,2016,229.84
3278,0,0,1,2,8,2019,363.86
2393,1,0,0,13,2,1986,256.56
769,1,1,1,3,6,1981,170.53
1310,1,1,0,10,7,2008,243
1669,0,0,0,9,9,1984,197.16
1312,1,1,1,2,6,1993,249.5
2748,1,1,1,3,2,2013,313.09
965,0,1,1,13,9,2001,194.95
3332,1,0,1,6,3,1986,347.05
2273,0,1,1,10,7,1981,284.82
3252,1,0,1,11,2,2006,324.67
1972,0,1,1,12,6,2018,255.27
691,1,0,0,8,2,1993,119.15
2717,1,0,1,4,10,2023,376.88
2540,0,0,1,11,6,2015,264.32
3012,1,0,1,15,3,1982,312.19
1218,1,0,0,4,2,1982,126.38
2719,0,1,0,5,7,2006,300.84
755,1,0,1,7,7,1981,181.3
3264,1,0,1,4,2,1990,332.07
3216,1,1,1,4,4,1990,358.97
2041,1,1,0,4,9,2024,330.71
630,0,0,0,4,2,2009,65.81
3218,1,0,1,2,7,1997,377.82
1424,0,0,0,2,10,1984,189.35
3685,1,0,0,7,8,2007,414.73
3742,1,0,0,6,10,2001,438.08
1220,1,1,0,6,3,2007,195.27
1531,0,1,1,1,7,2001,201.27
3522,1,1,0,3,4,1994,389.91
2960,0,0,0,12,2,2018,246.11
1658,1,0,0,6,5,2024,238.57
1668,1,0,0,14,10,1992,274.3
2341,0,1,0,14,10,2016,285.97
2179,1,1,0,7,2,2004,253.98
3102,1,1,1,4,4,2020,370.61
2674,0,0,0,2,6,1987,272.26
1028,0,1,0,11,10,2010,192.46
2741,1,0,1,3,7,2019,352.29
501,1,1,0,8,10,2001,193.23
1949,0,1,0,10,5,2001,227.62
1986,0,1,1,10,7,1980,251.15
2335,0,0,0,11,9,1998,282.36
2837,0,0,0,6,4,1995,249.98
1283,1,1,1,9,9,1982,246.91
648,1,1,0,12,8,1988,171.21
2763,1,0,1,11,9,1997,369.65
2683,1,0,1,1,5,1983,326.55
1084,0,0,1,15,6,1993,138.03
732,1,1,1,15,7,2009,189.89
1553,1,0,0,6,9,2011,250.24
3462,0,1,1,8,9,2008,375.73
3244,0,1,1,9,3,2010,319.42
534,1,0,1,10,3,1996,136.72
3478,0,1,0,12,5,2019,352.15
2025,1,0,0,2,4,2004,231.53
1339,0,1,0,4,9,2011,190.23
941,1,1,0,14,7,1981,212.3
1029,0,1,0,6,2,1987,91.97
3739,1,1,1,13,5,1994,401.03
3705,1,1,1,5,10,1990,453.8
512,1,1,0,11,2,2018,146.95
3348,1,0,0,14,2,1980,297.94
3617,0,0,1,10,7,2019,359.58
2961,1,1,0,3,9,2017,382.03
2275,1,0,1,5,6,2006,297.97
1606,1,1,0,3,10,2007,293.7
1475,1,1,0,9,6,2018,226.32
3570,0,0,0,13,8,2024,352.96
2818,0,0,0,15,2,2014,252.2
1287,0,1,0,15,5,1980,145.36
2191,1,0,1,3,10,2015,316.82
692,0,1,1,2,4,1992,124.38
2426,0,1,0,11,9,2002,289.22
2007,1,1,1,9,4,2017,270.39
3624,1,0,1,6,3,1984,379.31
1269,0,1,0,5,4,1989,133.81
1268,0,1,1,6,9,2010,198.94
1219,1,1,1,9,5,2023,226.95
2878,1,1,1,8,6,1999,358.52
2568,1,0,0,8,3,2020,284.69
3344,0,0,0,6,9,2015,357.93
568,1,0,0,8,10,2009,175.09
2613,1,1,1,7,9,2009,380.39
840,0,0,1,12,3,2001,114.25
1148,0,0,1,7,5,2018,142.91
3765,0,1,1,9,2,2014,336.94
2610,1,1,0,3,3,2011,309.45
2178,1,1,1,7,9,1988,337.4
3778,0,0,0,2,7,1986,352.49
3685,1,1,0,11,9,2008,428.82
2615,0,0,1,1,5,2011,268.3
1570,0,0,1,2,2,2016,171.3
1548,1,0,1,2,4,1987,212.91
3255,1,1,1,9,10,1981,417.8
3002,0,0,1,12,10,2011,336.76
2642,0,0,0,4,6,2016,276.08
1774,1,0,1,11,9,1985,294.15
1051,0,1,0,4,8,1995,159.15
1746,1,0,0,8,8,2022,254.68
2169,0,1,0,3,7,2002,267.93
